STT,Ho va ten,Ma sinh vien,Chuyen can,Kiem tra giua ky,Diem BTL,Kiem tra cuoi ky,TBM
1,Ho Duc Huy,B24DCMR465,7.8,2.3,6.5,4.6,5.3
2,Ngo Bao Duy,B23DCMR949,8.7,5.7,2.0,2.1,4.6
3,Tran Thi Ngoc,B22DCKT515,6.0,6.1,3.9,2.4,4.6
4,Dinh Quang Tuan,B22DCBC371,6.1,8.8,6.0,6.9,6.9
5,Ly Quoc Thao,B23DCVT921,7.0,9.4,7.3,7.5,7.8
6,Phan Cong Ly,B22DCAT393,6.7,6.5,1.2,5.6,5.0
7,Phan Dinh Chi,B23DCPT062,7.5,7.9,0.4,8.2,6.0
8,Huynh Xuan Ly,B24DCKH238,7.4,6.0,0.9,7.1,5.3
9,Dang Ngoc Chau,B21DCFT733,9.4,2.1,6.5,2.9,5.2
10,Dang Quoc Viet,B24DCFT181,7.8,6.5,5.0,4.2,5.9
11,Vo Thi Phong,B21DCKH439,9.4,3.2,7.8,9.0,7.4
12,Tran Huu Tam,B23DCAT209,7.4,2.0,9.8,4.4,5.9
13,Do Gia Dung,B22DCBC415,10.0,2.2,8.2,8.0,7.1
14,Doan Ngoc Viet,B24DCAT467,9.4,8.7,1.3,8.6,7.0
15,Hoang Duc Phuong,B22DCFT946,9.3,3.0,9.8,7.1,7.3
16,Le Thu Phong,B24DCMR585,7.5,8.0,2.3,9.9,6.9
17,Dinh Cong Trung,B23DCQT908,7.4,1.2,7.7,7.8,6.0
18,Ngo Quang Hung,B21DCMR203,9.2,8.9,6.4,1.6,6.5
19,Phan Thanh Ly,B24DCQT136,8.2,7.6,7.5,9.2,8.1
20,Vu Thanh Linh,B22DCMR892,6.7,6.9,0.3,1.9,4.0
21,Ho Dinh Anh,B24DCFT664,7.2,2.5,9.8,7.9,6.8
22,Dinh Cong Lan,B21DCPT539,9.4,0.4,2.4,8.2,5.1
23,Mai Dinh Tam,B21DCKT379,8.5,1.1,8.0,8.4,6.5
24,Duong Ngoc Mai,B24DCKT489,7.0,8.0,0.7,3.9,4.9
25,Pham Dinh Bao,B21DCBC244,8.6,5.4,4.8,7.8,6.7
26,Pham Xuan Duy,B21DCKT227,8.1,9.4,8.8,8.2,8.6
27,Dang Quoc Hai,B22DCAT878,6.9,4.8,3.5,3.1,4.6
28,Mai Minh Hung,B23DCKH435,8.9,4.1,4.3,3.3,5.2
29,Le Duc Hai,B24DCBC124,9.4,3.6,9.1,5.8,7.0
30,Mai Dinh Bao,B23DCKH184,6.3,3.3,9.3,7.7,6.6
31,Ho Quang Quan,B21DCCN108,8.0,7.1,8.3,5.0,7.1
32,Bui Ngoc Viet,B22DCKT447,9.9,0.5,6.1,2.9,4.8
33,Ta Quoc Huong,B21DCKT609,9.9,8.8,4.1,4.6,6.9
34,Nguyen Thu Ly,B21DCKH402,9.2,4.8,8.9,1.2,6.0
35,Ly Manh Hai,B24DCAT569,6.6,9.5,6.4,7.6,7.5
36,Ngo Thu Chau,B22DCFT484,7.0,3.1,0.2,5.5,3.9
